              3D.DAT Grid Points
      X           Y        Longitude    Latitude
    (km)        (km)        (deg E)     (deg N)
     658.604     811.460     344.750      67.750
     663.884     811.779     344.875      67.750
     669.163     812.108     345.000      67.750
     674.442     812.448     345.125      67.750
     679.721     812.798     345.250      67.750
     684.998     813.158     345.375      67.750
     690.275     813.529     345.500      67.750
     695.551     813.911     345.625      67.750
     700.827     814.303     345.750      67.750
     706.101     814.705     345.875      67.750
     711.375     815.118     346.000      67.750
     716.648     815.541     346.125      67.750
     721.920     815.974     346.250      67.750
     727.191     816.418     346.375      67.750
     732.462     816.873     346.500      67.750
     737.731     817.338     346.625      67.750
     742.999     817.813     346.750      67.750
     748.267     818.299     346.875      67.750
     753.534     818.795     347.000      67.750
     758.799     819.301     347.125      67.750
     764.064     819.818     347.250      67.750
     769.327     820.346     347.375      67.750
     774.590     820.883     347.500      67.750
     779.851     821.432     347.625      67.750
     785.111     821.990     347.750      67.750
     790.371     822.559     347.875      67.750
     795.629     823.138     348.000      67.750
     800.886     823.728     348.125      67.750
     806.141     824.328     348.250      67.750
     811.396     824.939     348.375      67.750
     816.649     825.560     348.500      67.750
     821.901     826.191     348.625      67.750
     827.152     826.833     348.750      67.750
     832.402     827.485     348.875      67.750
     837.650     828.147     349.000      67.750
     842.897     828.820     349.125      67.750
     848.142     829.503     349.250      67.750
     853.387     830.197     349.375      67.750
     858.629     830.901     349.500      67.750
     863.871     831.615     349.625      67.750
     869.111     832.340     349.750      67.750
     874.349     833.075     349.875      67.750
     879.587     833.820     350.000      67.750
     118.433     820.005     332.000      67.625
     123.698     819.256     332.125      67.625
     128.964     818.517     332.250      67.625
     134.231     817.789     332.375      67.625
     139.500     817.071     332.500      67.625
     144.770     816.363     332.625      67.625
     150.041     815.666     332.750      67.625
     155.314     814.979     332.875      67.625
     160.589     814.303     333.000      67.625
     165.864     813.637     333.125      67.625
     171.141     812.981     333.250      67.625
     176.419     812.336     333.375      67.625
     181.699     811.702     333.500      67.625
     186.980     811.078     333.625      67.625
     192.262     810.464     333.750      67.625
     197.545     809.861     333.875      67.625
     202.829     809.268     334.000      67.625
     208.115     808.685     334.125      67.625
     213.401     808.114     334.250      67.625
     218.689     807.552     334.375      67.625
     223.978     807.001     334.500      67.625
     229.268     806.460     334.625      67.625
     234.559     805.930     334.750      67.625
     239.851     805.411     334.875      67.625
     245.144     804.902     335.000      67.625
     250.438     804.403     335.125      67.625
     255.733     803.915     335.250      67.625
     261.029     803.437     335.375      67.625
     266.326     802.970     335.500      67.625
     271.624     802.513     335.625      67.625
     276.922     802.066     335.750      67.625
     282.222     801.631     335.875      67.625
     287.522     801.205     336.000      67.625
     292.824     800.790     336.125      67.625
     298.126     800.386     336.250      67.625
     303.429     799.992     336.375      67.625
     308.732     799.609     336.500      67.625
     314.037     799.236     336.625      67.625
     319.342     798.873     336.750      67.625
     324.648     798.521     336.875      67.625
     329.954     798.180     337.000      67.625
     335.261     797.849     337.125      67.625
     340.569     797.528     337.250      67.625
     345.877     797.218     337.375      67.625
     351.187     796.919     337.500      67.625
     356.496     796.630     337.625      67.625
     361.806     796.351     337.750      67.625
     367.117     796.083     337.875      67.625
     372.428     795.826     338.000      67.625
     377.740     795.579     338.125      67.625
     383.052     795.342     338.250      67.625
     388.365     795.116     338.375      67.625
     393.678     794.901     338.500      67.625
     398.992     794.696     338.625      67.625
     404.306     794.501     338.750      67.625
     409.620     794.317     338.875      67.625
     414.934     794.144     339.000      67.625
     420.249     793.981     339.125      67.625
     425.565     793.828     339.250      67.625
     430.880     793.687     339.375      67.625
     436.196     793.555     339.500      67.625
     441.512     793.434     339.625      67.625
     446.829     793.324     339.750      67.625
     452.145     793.224     339.875      67.625
     457.462     793.135     340.000      67.625
     462.779     793.056     340.125      67.625
     468.096     792.987     340.250      67.625
     473.413     792.930     340.375      67.625
     478.730     792.882     340.500      67.625
     484.048     792.845     340.625      67.625
     489.365     792.819     340.750      67.625
     494.683     792.803     340.875      67.625
     500.000     792.798     341.000      67.625
     505.317     792.803     341.125      67.625
     510.635     792.819     341.250      67.625
     515.952     792.845     341.375      67.625
     521.270     792.882     341.500      67.625
     526.587     792.930     341.625      67.625
     531.904     792.987     341.750      67.625
     537.221     793.056     341.875      67.625
     542.538     793.135     342.000      67.625
     547.855     793.224     342.125      67.625
     553.171     793.324     342.250      67.625
     558.488     793.434     342.375      67.625
     563.804     793.555     342.500      67.625
     569.120     793.687     342.625      67.625
     574.435     793.828     342.750      67.625
     579.751     793.981     342.875      67.625
     585.066     794.144     343.000      67.625
     590.380     794.317     343.125      67.625
     595.695     794.501     343.250      67.625
     601.008     794.696     343.375      67.625
     606.322     794.901     343.500      67.625
     611.635     795.116     343.625      67.625
     616.948     795.342     343.750      67.625
     622.260     795.579     343.875      67.625
     627.572     795.826     344.000      67.625
     632.883     796.083     344.125      67.625
     638.194     796.351     344.250      67.625
     643.504     796.630     344.375      67.625
     648.813     796.919     344.500      67.625
     654.122     797.218     344.625      67.625
     659.431     797.528     344.750      67.625
     664.739     797.849     344.875      67.625
     670.046     798.180     345.000      67.625
     675.352     798.521     345.125      67.625
     680.658     798.873     345.250      67.625
     685.963     799.236     345.375      67.625
     691.268     799.609     345.500      67.625
     696.571     799.992     345.625      67.625
     701.874     800.386     345.750      67.625
     707.176     800.790     345.875      67.625
     712.478     801.205     346.000      67.625
     717.778     801.631     346.125      67.625
     723.078     802.066     346.250      67.625
     728.376     802.513     346.375      67.625
     733.674     802.970     346.500      67.625
     738.971     803.437     346.625      67.625
     744.267     803.915     346.750      67.625
     749.562     804.403     346.875      67.625
     754.856     804.902     347.000      67.625
     760.149     805.411     347.125      67.625
     765.441     805.930     347.250      67.625
     770.732     806.460     347.375      67.625
     776.022     807.001     347.500      67.625
     781.311     807.552     347.625      67.625
     786.599     808.114     347.750      67.625
     791.885     808.685     347.875      67.625
     797.171     809.268     348.000      67.625
     802.455     809.861     348.125      67.625
     807.738     810.464     348.250      67.625
     813.020     811.078     348.375      67.625
     818.301     811.702     348.500      67.625
     823.581     812.336     348.625      67.625
     828.859     812.981     348.750      67.625
     834.136     813.637     348.875      67.625
     839.411     814.303     349.000      67.625
     844.686     814.979     349.125      67.625
     849.959     815.666     349.250      67.625
     855.230     816.363     349.375      67.625
     860.500     817.071     349.500      67.625
     865.769     817.789     349.625      67.625
     871.036     818.517     349.750      67.625
     876.302     819.256     349.875      67.625
     881.567     820.005     350.000      67.625
     116.453     806.192     332.000      67.500
     121.745     805.439     332.125      67.500
     127.038     804.696     332.250      67.500
     132.333     803.964     332.375      67.500
     137.629     803.242     332.500      67.500
     142.927     802.531     332.625      67.500
     148.226     801.830     332.750      67.500
     153.526     801.140     332.875      67.500
     158.827     800.460     333.000      67.500
     164.130     799.791     333.125      67.500
     169.435     799.132     333.250      67.500
     174.740     798.483     333.375      67.500
     180.047     797.845     333.500      67.500
     185.355     797.218     333.625      67.500
     190.665     796.601     333.750      67.500
     195.975     795.995     333.875      67.500
     201.287     795.399     334.000      67.500
     206.600     794.813     334.125      67.500
     211.914     794.239     334.250      67.500
     217.229     793.674     334.375      67.500
     222.546     793.120     334.500      67.500
     227.863     792.577     334.625      67.500
     233.181     792.044     334.750      67.500
     238.501     791.522     334.875      67.500
     243.821     791.010     335.000      67.500
     249.143     790.509     335.125      67.500
     254.465     790.018     335.250      67.500
     259.789     789.538     335.375      67.500
     265.113     789.068     335.500      67.500
     270.439     788.609     335.625      67.500
     275.765     788.160     335.750      67.500
     281.092     787.722     335.875      67.500
     286.420     787.294     336.000      67.500
     291.749     786.877     336.125      67.500
     297.078     786.471     336.250      67.500
     302.409     786.075     336.375      67.500
